Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2021-11-02,19:00:00,Vegas Golden Knights,0,Toronto Maple Leafs,4,,18689.0,2:20,,Tuesday
2021-11-02,22:00:00,New York Rangers,2,Vancouver Canucks,3,OT,18257.0,2:22,,Tuesday
2021-11-02,20:00:00,Dallas Stars,3,Winnipeg Jets,4,SO,13174.0,2:46,,Tuesday
2021-11-03,20:30:00,Carolina Hurricanes,4,Chicago Blackhawks,3,,16449.0,2:23,,Wednesday
2021-11-03,21:00:00,Columbus Blue Jackets,5,Colorado Avalanche,4,OT,16634.0,2:29,,Wednesday
2021-11-03,20:30:00,Nashville Predators,2,Edmonton Oilers,5,,14414.0,2:28,,Wednesday
2021-11-03,22:00:00,St. Louis Blues,2,Los Angeles Kings,3,SO,11756.0,2:41,,Wednesday
2021-11-04,19:00:00,Detroit Red Wings,1,Boston Bruins,5,,17850.0,2:29,,Thursday
2021-11-04,21:00:00,Dallas Stars,4,Calgary Flames,3,OT,14715.0,2:34,,Thursday
2021-11-04,19:00:00,Washington Capitals,4,Florida Panthers,5,OT,12542.0,2:33,,Thursday
2021-11-04,19:00:00,New York Islanders,6,Montreal Canadiens,2,,19924.0,2:28,,Thursday
2021-11-04,19:00:00,Vegas Golden Knights,5,Ottawa Senators,1,,13211.0,2:19,,Thursday
2021-11-04,19:00:00,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT,17037.0,2:31,,Thursday
2021-11-04,22:00:00,Buffalo Sabres,2,Seattle Kraken,5,,17151.0,2:30,,Thursday
2021-11-04,22:30:00,St. Louis Blues,5,San Jose Sharks,3,,11816.0,2:23,,Thursday
2021-11-04,19:00:00,Tampa Bay Lightning,1,Toronto Maple Leafs,2,OT,18937.0,2:31,,Thursday
2021-11-05,22:00:00,Arizona Coyotes,1,Anaheim Ducks,3,,12148.0,2:29,,Friday
2021-11-05,21:30:00,New York Rangers,5,Edmonton Oilers,6,OT,17404.0,2:30,,Friday
2021-11-05,22:30:00,New Jersey Devils,2,Los Angeles Kings,3,OT,16045.0,2:30,,Friday
2021-11-05,22:00:00,Nashville Predators,3,Vancouver Canucks,2,,18870.0,2:27,,Friday
2021-11-05,20:00:00,Chicago Blackhawks,1,Winnipeg Jets,5,,13756.0,2:21,,Friday
2021-11-06,22:00:00,Seattle Kraken,4,Arizona Coyotes,5,,15045.0,2:26,,Saturday
2021-11-06,19:00:00,Detroit Red Wings,4,Buffalo Sabres,3,OT,8171.0,2:25,,Saturday
2021-11-06,19:00:00,Colorado Avalanche,2,Columbus Blue Jackets,4,,16494.0,2:23,,Saturday
2021-11-06,22:00:00,New York Rangers,0,Calgary Flames,6,,15879.0,2:25,,Saturday
2021-11-06,18:00:00,Carolina Hurricanes,2,Florida Panthers,5,,13835.0,2:31,,Saturday
2021-11-06,19:00:00,Vegas Golden Knights,5,Montreal Canadiens,2,,20156.0,2:31,,Saturday
2021-11-06,14:00:00,Tampa Bay Lightning,5,Ottawa Senators,3,,12417.0,2:30,,Saturday
